label,PC,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b11/b7,b11/b9,b7/b6,b12-b6,b12/b6,0.01*b12/b8,(b12-b2)/b8,b9/b8
1,0.1035595,0.0088215,0.010272,0.014476,0.0210445,0.0238637,0.0312655,0.0293132,0.0248039,0.0239827,0.0241344,0.0237489,0.0097947,0.0103716,0.0094185,0.0040838,0.0027414,-0.0010922,0.8101794,0.9902517,0.937558,-0.0214707,0.3132766,0.0039489,-0.0192398,0.9668938
1,0.1098448,0.0059945,0.0083054,0.0125625,0.0193304,0.0219715,0.0284753,0.0255783,0.0213774,0.0205487,0.0204852,0.0174547,0.0055258,0.0064614,0.0051849,0.0014861,0.00074,-0.0015415,0.6824018,0.8494311,0.8982642,-0.0229495,0.1940549,0.0025849,-0.1300285,0.9612338
1,0.1566731,0.0084351,0.0097158,0.0137273,0.0207152,0.0233118,0.0306246,0.0279796,0.023627,0.0228266,0.022621,0.0218712,0.0083123,0.0090702,0.0081051,0.0033658,0.0021857,-0.000736,0.7816847,0.9581461,0.9136322,-0.0223123,0.2714248,0.0035181,-0.059405,0.9661221
1,0.175743,0.0085699,0.0102888,0.0143888,0.0213762,0.0243261,0.0311744,0.0289905,0.024885,0.0239885,0.0241554,0.0222242,0.0085742,0.0092077,0.0082364,0.0032816,0.0020283,-0.00158,0.7666041,0.9264534,0.9299454,-0.0226002,0.275039,0.0034455,-0.0688998,0.9639762
1,0.1771066,0.0084358,0.0102934,0.0139111,0.0206094,0.0232602,0.030981,0.0277704,0.0243691,0.0233095,0.023544,0.0251553,0.0122395,0.0128787,0.0118905,0.006246,0.0048522,0.000671,0.9058339,1.0791898,0.8963674,-0.0187415,0.3950638,0.0050225,0.0798579,0.9565171
1,0.1847095,0.0084295,0.010233,0.0138854,0.0204645,0.0233439,0.0306779,0.0287282,0.0243877,0.0234294,0.0234097,0.0228914,0.0093425,0.0099053,0.0090242,0.0036817,0.00243,-0.001379,0.7968275,0.9770385,0.9364466,-0.0213353,0.3045364,0.0038308,-0.0365137,0.9607065
1,0.2579597,0.006384,0.0080468,0.012418,0.0189732,0.0217147,0.0285348,0.0259925,0.021729,0.0208023,0.0211871,0.018402,0.0062365,0.0069262,0.0060303,0.0021641,0.0014724,-0.000676,0.7079736,0.8846152,0.9109054,-0.0222983,0.2185584,0.0028701,-0.0833115,0.9573486
1,0.7264406,0.0076492,0.0092868,0.0131122,0.0198785,0.0222912,0.0288115,0.0262656,0.0220132,0.0211678,0.0211927,0.0183231,0.006374,0.0069888,0.0060367,0.0022996,0.0014193,-0.000855,0.6976077,0.8656097,0.911634,-0.0224376,0.2212291,0.0028955,-0.1323244,0.9615972
1,0.8737182,0.0072648,0.0088811,0.0124496,0.0194074,0.0221624,0.0294795,0.0256133,0.0219316,0.021016,0.020998,0.0199787,0.007998,0.0086052,0.0076231,0.0034773,0.0026059,0.00056,0.7800141,0.9506464,0.8688523,-0.0214815,0.2713061,0.0036468,-0.0402666,0.958251
1,0.9883,0.0081097,0.007757,0.0106896,0.0152822,0.0179636,0.0267721,0.0262136,0.0231802,0.0222681,0.0222185,0.0231335,0.0110929,0.0114195,0.0112797,0.0061966,0.0049905,0.0011265,0.8825006,1.0388618,0.9791364,-0.0156792,0.4143464,0.0047855,0.1439144,0.9606502
1,1.45578,0.0080934,0.0102608,0.014116,0.0203419,0.0231715,0.0302769,0.0287076,0.0249958,0.0241896,0.0243173,0.0236884,0.0101183,0.0110116,0.0099063,0.0044304,0.0032455,-0.000883,0.8251636,0.9792829,0.9481663,-0.0201586,0.3341916,0.004048,-0.0057025,0.9677454
