,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49
16-May,21.743217,42.352036,161.1269,37.21293,56.993496,86.571205,19.93858,105.4847,42.13984,30.353817,69.81666,96.29585,28.509045,30.622738,61.569748,37.401226,60.76085,39.774734,25.374662,95.68175,122.14248,47.898052,34.34832,25.932367,48.80055,27.24625,29.362114,62.326912,20.161654,238.78746,23.23023,18.56894,41.250103,59.19699,57.465473,25.193487,62.294827,33.931664,53.977158,31.87492,36.80557,38.636375,31.827192,309.09763,30.012873,108.09473,119.33245,24.409548,132.66852,86.301605
16-Jun,23.199022,35.84222,70.79488,39.025475,55.962875,31.23562,116.90113,61.798454,99.09975,36.06998,52.370346,83.98006,137.70068,88.332306,70.74808,38.025326,33.901237,72.07593,40.048042,34.08602,76.69774,98.41544,42.652515,15.670033,63.14956,62.847294,41.242584,40.826653,51.69936,240.66595,37.92605,36.8997,74.801285,42.347275,40.926544,55.620445,60.890713,0,51.316895,55.521957,101.1454,31.788212,29.01119,223.97028,50.676456,47.20976,112.36864,37.70859,74.93707,106.72251
16-Jul,20.842957,18.488813,59.017807,28.612675,52.449688,21.677341,66.89187,50.800877,97.26701,50.32292,53.216614,39.832924,69.14221,54.28568,26.085835,31.351488,21.598701,72.19991,32.729343,82.76008,38.865368,90.994316,92.13897,22.35622,53.802586,55.34256,43.860706,129.33691,45.461704,226.17554,23.462194,10.559612,45.977394,46.982826,28.504477,74.82035,63.38224,0,98.76798,13.184196,48.730175,29.500998,28.52746,230.4325,48.647568,19.635983,126.43497,44.557194,48.973766,61.67587
16-Aug,22.284046,22.089283,42.85357,30.717667,36.877617,25.249323,64.576225,87.05192,76.24903,38.028034,56.228992,60.083843,63.165085,59.16467,53.05191,43.284485,16.786913,96.33979,31.765764,96.53941,26.027924,106.78814,76.06268,14.087066,41.015915,37.644222,41.106846,142.09059,61.180634,227.41077,36.36198,13.611376,92.74781,53.04928,28.857216,48.90554,113.09919,0,40.00534,17.398083,57.311054,22.901175,26.46591,146.12619,65.84092,20.55023,81.75276,39.637535,41.244125,74.3356
16-Sep,20.55093,28.139887,42.615894,24.910145,36.409958,38.397324,39.79595,116.37122,39.382984,28.414585,38.879658,44.388443,55.94176,46.765522,58.628174,37.59455,43.490547,51.34796,23.091848,77.77759,41.63854,77.37777,74.02358,10.914879,37.90664,25.174234,37.058372,157.43303,59.250965,232.14903,42.40578,15.569904,99.51716,58.62316,30.28242,39.169506,25.530231,0,63.18385,50.271336,46.558952,20.104275,31.30317,90.29192,34.71038,28.423687,52.84726,29.638573,61.1747,34.852913
16-Oct,20.994095,32.426422,35.867043,21.659897,54.895176,32.09308,41.386963,114.22021,58.492607,30.483757,40.93267,34.4295,43.9796,52.623386,74.408165,43.403904,40.14252,36.099747,27.329044,65.9095,40.47342,37.045143,41.612614,20.06601,50.971596,33.26165,26.434929,196.99191,44.023937,242.44356,27.818287,22.139149,63.23657,67.48553,49.721043,45.587986,28.86728,0,44.952225,105.89355,41.46913,31.459743,23.045633,94.05686,59.06521,44.691193,93.356514,49.967304,85.72149,47.08206
16-Nov,39.36046,50.562565,55.85345,17.548452,74.528984,36.700512,37.006622,39.48576,49.943584,65.14658,50.10235,71.093346,34.481224,88.72458,104.928856,60.35471,49.246227,44.60942,77.46426,82.061745,64.904144,76.203606,189.3462,106.04759,97.08428,91.338585,32.715702,183.15314,64.50659,273.313,22.480505,72.013954,61.199356,82.90425,33.462105,23.641474,31.552042,0,51.166824,102.85106,48.889618,78.669945,29.68358,163.04395,44.376915,283.83194,209.79651,26.64463,169.6524,14.584832
17-May,36.88621,40.81548,65.66838,47.365967,59.26944,64.523254,69.190285,159.75752,71.94651,47.93902,54.321835,87.17701,47.714737,74.85366,77.92164,28.564009,82.51821,74.5395,28.362072,87.47449,81.834335,63.18621,56.667767,36.775143,58.38381,63.17608,32.85859,37.121677,50.053463,258.99252,25.32522,30.61193,84.82763,84.52859,59.922413,34.063408,52.554127,43.06671,66.30512,46.530823,86.54274,56.2257,59.8752,193.41855,50.426746,0,68.57375,34.694527,103.37436,67.90666
17-Jun,15.120652,37.437305,34.37918,35.383198,44.852737,39.25151,83.82727,122.76878,104.244415,41.729084,55.83992,132.95244,61.637375,109.02299,30.791862,38.098503,78.23484,83.27966,55.62081,72.60762,42.124023,79.77055,36.59995,20.773203,51.33129,110.44779,29.328915,28.105679,43.235786,224.55527,30.599945,25.564295,88.8821,67.98875,47.544506,51.48192,63.81623,0,63.786636,59.31859,93.40418,32.698635,49.751373,192.17195,43.6791,0,119.075066,64.85864,84.27014,73.84973
17-Jul,16.784042,23.467203,54.78712,57.01404,36.89281,19.811686,59.204178,122.32372,56.998928,50.568962,54.29465,103.7976,117.295204,57.575,42.685585,77.22964,52.663208,93.09158,106.04373,97.351654,24.679125,127.75838,56.505875,24.957846,29.20658,64.72697,24.485247,90.87593,61.532917,253.66808,27.549992,45.645653,81.97157,56.412296,26.531267,63.296112,59.052876,0,64.26178,49.161247,24.567457,34.833122,39.697384,79.786705,100.9894,0,63.792526,31.299309,67.16055,47.97557
